Deadly Deception: General Electric, Nuclear Weapons and Our Environment	1991	1	1	no
Dances with Wolves	1990	7	12	yes
Dick Tracy	1990	3	7	no
Ghost	1990	2	5	no
Goodfellas	1990	1	6	no
The Hunt for Red October	1990	1	3	no
Reversal of Fortune	1990	1	3	no
Cyrano de Bergerac	1990	1	5	no
American Dream	1990	1	1	no
Journey of Hope (Reise der Hoffnung)	1990	1	1	no
Days of Waiting	1990	1	1	no
Creature Comforts	1990	1	1	no
The Lunch Date	1990	1	1	no
Misery	1990	1	1	no
Total Recall	1990	0 (1)	2	no
Driving Miss Daisy	1989	4	9	yes
Glory	1989	3	5	no
Born on the Fourth of July	1989	2	8	no
My Left Foot	1989	2	5	no
The Little Mermaid	1989	2	3	no
Dead Poets Society	1989	1	4	no
The Abyss	1989	1	4	no
Indiana Jones and the Last Crusade	1989	1	3	no
Henry V	1989	1	3	no
The Johnstown Flood	1989	1	1	no
Common Threads: Stories from the Quilt	1989	1	1	no
Cinema Paradiso	1989	1	1	no
Work Experience	1989	1	1	no
Batman	1989	1	1	no
Balance	1989	1	1	no
Rain Man	1988	4	8	yes
Dangerous Liaisons	1988	3	7	no
Who Framed Roger Rabbit	1988	3 (1)	6	no
Mississippi Burning	1988	1	7	no
Working Girl	1988	1	6	no
The Accidental Tourist	1988	1	4	no
A Fish Called Wanda	1988	1	3	no
Pelle the Conqueror (Pelle erobreren)	1988	1	2	no
The Accused	1988	1	1	no
The Appointments of Dennis Jennings	1988	1	1	no
Beetlejuice	1988	1	1	no
Bird	1988	1	1	no
Hôtel Terminus: The Life and Times of Klaus Barbie	1988	1	1	no
The Milagro Beanfield War	1988	1	1	no
Tin Toy	1988	1	1	no
You Don't Have to Die	1988	1	1	no
The Last Emperor	1987	9	9	yes
Moonstruck	1987	3	6	no
The Untouchables	1987	1	4	no
Babette's Feast (Babettes gæstebud)	1987	1	1	no
Dirty Dancing	1987	1	1	no
Harry and the Hendersons	1987	1	1	no
Innerspace	1987	1	1	no
The Man Who Planted Trees (L' Homme qui plantait des arbres)	1987	1	1	no
Ray's Male Heterosexual Dance Hall	1987	1	1	no
The Ten-Year Lunch	1987	1	1	no
Wall Street	1987	1	1	no
Young at Heart	1987	1	1	no
RoboCop	1987	0 (1)	2	no
Platoon	1986	4	8	yes
A Room with a View	1986	3	8	no
Hannah and Her Sisters	1986	3	7	no
Aliens	1986	2	7	no
The Mission	1986	1	7	no
Children of a Lesser God	1986	1	5	no
The Color of Money	1986	1	4	no
Top Gun	1986	1	4	no
Round Midnight	1986	1	2	no
Artie Shaw: Time Is All You've Got	1986	1	1	no
The Assault (De Aanslag)	1986	1	1	no
Down and Out in America	1986	1	1	no
The Fly	1986	1	1	no
A Greek Tragedy	1986	1	1	no
Precious Images	1986	1	1	no
Women – for America, for the World	1986	1	1	no
Out of Africa	1985	7	11	yes
Witness	1985	2	8	no
Cocoon	1985	2	2	no
Prizzi's Honor	1985	1	8	no
Back to the Future	1985	1	4	no
Kiss of the Spider Woman	1985	1	4	no
Ran	1985	1	4	no
The Official Story (La Historia Oficial)	1985	1	2	no
The Trip to Bountiful	1985	1	2	no
White Nights	1985	1	2	no
Anna & Bella	1985	1	1	no
Broken Rainbow	1985	1	1	no
Mask	1985	1	1	no
Molly's Pilgrim	1985	1	1	no
Witness to War: Dr. Charlie Clements	1985	1	1	no
Amadeus	1984	8	11	yes
The Killing Fields	1984	3	7	no
A Passage to India	1984	2	11	no
Places in the Heart	1984	2	7	no
Indiana Jones and the Temple of Doom	1984	1	2	no
Charade	1984	1	1	no
Dangerous Moves (La Diagonale du fou)	1984	1	1	no
Purple Rain	1984	1	1	no
The Stone Carvers	1984	1	1	no
The Times of Harvey Milk	1984	1	1	no
Up	1984	1	1	no
The Woman in Red	1984	1	1	no
The River	1984	0 (1)	4	no
Terms of Endearment	1983	5	11	yes
The Right Stuff	1983	4	8	no
Fanny & Alexander (Fanny och Alexander)	1983	4	6	no
Tender Mercies	1983	2	5	no
Yentl	1983	1	5	no
Flashdance	1983	1	4	no
Boys and Girls	1983	1	1	no
Flamenco at 5:15	1983	1	1	no
He Makes Me Feel Like Dancin'	1983	1	1	no
Sundae in New York	1983	1	1	no
The Year of Living Dangerously	1983	1	1	no
Return of the Jedi	1983	0 (1)	4	no
Gandhi	1982	8	11	yes
E.T.: The Extra-Terrestrial	1982	4	9	no
An Officer and a Gentleman	1982	2	6	no
Tootsie	1982	1	10	no
Victor/Victoria	1982	1	7	no
Sophie's Choice	1982	1	5	no
Missing	1982	1	4	no
If You Love This Planet	1982	1	1	no
Just Another Missing Kid	1982	1	1[2]	no
A Shocking Accident	1982	1	1	no
Tango	1982	1	1	no
To Begin Again (Volver a empezar)	1982	1	1	no
Quest for Fire	1982	1	1	no
Chariots of Fire	1981	4	7	yes
Raiders of the Lost Ark	1981	4 (1)	8	no
Reds	1981	3	12	no
On Golden Pond	1981	3	10	no
Arthur	1981	2	4	no
An American Werewolf in London	1981	1	1	no
Close Harmony	1981	1	1	no
Crac	1981	1	1	no
Genocide	1981	1	1	no
Mephisto	1981	1	1	no
Violet	1981	1	1	no
Ordinary People	1980	4	6	yes
Tess	1980	3	6	no
Raging Bull	1980	2	8	no
Fame	1980	2	6	no
Melvin and Howard	1980	2	3	no
Coal Miner's Daughter	1980	1	7	no
The Empire Strikes Back	1980	1 (1)	3	no
The Dollar Bottom	1980	1	1	no
The Fly (A Légy)	1980	1	1	no
From Mao to Mozart: Isaac Stern in China	1980	1	1	no
Karl Hess: Toward Liberty	1980	1	1	no
Moscow Does Not Believe in Tears	1980	1	1	no
Kramer vs. Kramer	1979	5	9	yes
All That Jazz	1979	4	9	no
Apocalypse Now	1979	2	8	no
Norma Rae	1979	2	4	no
Breaking Away	1979	1	5	no
Alien	1979	1	2	no
Being There	1979	1	2	no
A Little Romance	1979	1	2	no
Best Boy	1979	1	1	no
Board and Care	1979	1	1	no
Every Child	1979	1	1	no
Paul Robeson: Tribute to an Artist	1979	1	1	no
The Tin Drum (Die Blechtrommel)	1979	1	1	no
The Black Stallion	1979	0 (1)	2	no
The Deer Hunter	1978	5	9	yes
Coming Home	1978	3	8	no
Midnight Express	1978	2	6	no
Heaven Can Wait	1978	1	9	no
Days of Heaven	1978	1	4	no
California Suite	1978	1	3	no
The Buddy Holly Story	1978	1	3	no
Death on the Nile	1978	1	1	no
The Flight of the Gossamer Condor	1978	1	1	no
Get Out Your Handkerchiefs (Préparez vos mouchoirs)	1978	1	1	no
Scared Straight!	1978	1	1	no
Special Delivery	1978	1	1	no
Teenage Father	1978	1	1	no
Thank God It's Friday	1978	1	1	no
Superman	1978	0 (1)	3	no
Annie Hall	1977	4	5	yes
Star Wars	1977	6 (1)	10	no
Julia	1977	3	11	no
Close Encounters of the Third Kind	1977	1 (1)	8	no
The Goodbye Girl	1977	1	5	no
A Little Night Music	1977	1	2	no
Gravity Is My Enemy	1977	1	1	no
I'll Find a Way	1977	1	1	no
Madame Rosa (La Vie devant soi)	1977	1	1	no
The Sand Castle (Le Château de sable)	1977	1	1	no
Who Are the DeBolts? And Where Did They Get Nineteen Kids?	1977	1	1	no
You Light Up My Life	1977	1	1	no
Rocky	1976	3	10	yes
Network	1976	4	10	no
All the President's Men	1976	4	8	no
Bound for Glory	1976	2	6	no
A Star Is Born	1976	1	4	no
Fellini's Casanova (Il Casanova di Federico Fellini)	1976	1	2	no
The Omen	1976	1	2	no
Black and White in Color (Noirs et blancs en couleur)	1976	1	1	no
Harlan County, USA	1976	1	1	no
In the Region of Ice	1976	1	1	no
Leisure	1976	1	1	no
